"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
4,668190673E0;1,012500048E0;1,260000038E1;-4,944375229E1;5,103400637E1
4,688187305E0;9,562500119E-1;1,241250038E1;-4,938750076E1;5,093240434E1
4,708183955E0;7,125000358E-1;1,218750095E1;-4,914375305E1;5,063744958E1
4,728188221E0;4,125000238E-1;1,218750095E1;-4,914375305E1;5,063411695E1
4,748192483E0;-3,000000119E-1;1,194375038E1;-4,925625229E1;5,068452982E1
4,768189104E0;-4,875000119E-1;1,170000076E1;-4,944375229E1;5,081153722E1
4,788193356E0;-7,125000358E-1;1,158750057E1;-4,938750076E1;5,073364818E1
4,808190011E0;-7,875000238E-1;1,164375019E1;-4,914375305E1;5,051044980E1
4,828186633E0;-1,012500048E0;1,140000057E1;-4,901250076E1;5,033100834E1
4,848190904E0;-1,256250024E0;1,115625000E1;-4,914375305E1;5,040980601E1
4,868187515E0;-1,256250024E0;1,098750019E1;-4,938750076E1;5,061055775E1
4,888191781E0;-1,500000000E0;1,080000019E1;-4,920000076E1;5,039375040E1
4,908188441E0;-1,500000000E0;1,085625076E1;-4,901250076E1;5,022283755E1
4,928185053E0;-1,687500119E0;1,055625057E1;-4,884375381E1;4,999994370E1
4,948189305E0;-1,987500072E0;1,044375038E1;-4,895625305E1;5,009727329E1
4,968185936E0;-1,912500024E0;1,014375019E1;-4,908750153E1;5,016110177E1
4,988202621E0;-1,912500024E0;1,014375019E1;-4,908750153E1;5,016110177E1
5,008206901E0;-2,100000143E0;9,843750000E0;-4,931250381E1;5,032924048E1
5,028203513E0;-2,343750000E0;9,543750763E0;-4,914375305E1;5,011671185E1
5,048207803E0;-2,212500095E0;9,300000191E0;-4,944375229E1;5,035940628E1
5,068192021E0;-2,343750000E0;9,187500000E0;-4,938750076E1;5,028944772E1
5,088188676E0;-2,212500095E0;9,056250572E0;-4,931250381E1;5,018599270E1
5,108192957E0;-2,343750000E0;9,056250572E0;-4,914375305E1;5,002616618E1
5,128197098E0;-2,456250191E0;9,056250572E0;-4,931250381E1;5,019732933E1
5,148193710E0;-2,756250143E0;8,756250381E0;-4,914375305E1;4,999377261E1
5,168197990E0;-2,756250143E0;8,887500763E0;-4,908750153E1;4,996165921E1
5,188060387E0;-2,756250143E0;8,887500763E0;-4,890000153E1;4,977745206E1
5,208049408E0;-2,943750143E0;8,756250381E0;-4,884375381E1;4,970965573E1
5,228053650E0;-3,112500191E0;8,587500572E0;-4,860000229E1;4,945091552E1
